name,type,start_time,duration,"mosi","miso"
"SPI","result",0.0034498,0.0000076,0x00,0x00
"SPI","result",0.0034596,0.0000077,0x00,0x00
"SPI","result",0.0034694,0.0000076,0x00,0x00
"SPI","result",0.0034791,0.0000076,0x00,0x00
"SPI","result",0.0034888,0.0000076,0x00,0x00
"SPI","result",0.0034985,0.0000077,0x00,0x00
"SPI","result",0.0035083,0.0000076,0x00,0x00
"SPI","result",0.0035181,0.0000076,0x00,0x00
"SPI","result",0.0035281,0.0000077,0x00,0x00
"SPI","result",0.0035379,0.0000076,0x00,0x00
"SPI","result",0.0035477,0.0000076,0x00,0x01
"SPI","result",0.0035579,0.0000076,0x3D,0x00
"SPI","result",0.0035669,0.0000076,0xD9,0x00
"SPI","result",0.0035759,0.0000076,0x42,0x00
"SPI","result",0.0035849,0.0000076,0xC6,0x00
"SPI","result",0.0035939,0.0000076,0x9A,0x00
"SPI","result",0.0036029,0.0000076,0x5D,0x00
"SPI","result",0.0036119,0.0000076,0xDF,0x00
"SPI","result",0.0036209,0.0000076,0x54,0x00
"SPI","result",0.0036299,0.0000076,0x33,0x00
"SPI","result",0.0036389,0.0000076,0xFC,0x00
"SPI","result",0.0036479,0.0000076,0xBF,0x00
"SPI","result",0.0036569,0.0000076,0x6D,0x00
"SPI","result",0.0036659,0.0000076,0x8E,0x00
"SPI","result",0.0036749,0.0000076,0x6C,0x00
"SPI","result",0.0036839,0.0000076,0x48,0x00
"SPI","result",0.0036929,0.0000076,0x7B,0x00
"SPI","result",0.0037019,0.0000076,0xD8,0x00
"SPI","result",0.0037109,0.0000076,0xBB,0x00
"SPI","result",0.0037199,0.0000076,0xE0,0x00
"SPI","result",0.0037289,0.0000076,0xE7,0x00
"SPI","result",0.0037379,0.0000076,0xF1,0x00
"SPI","result",0.0037469,0.0000076,0x2B,0x00
"SPI","result",0.0037559,0.0000076,0xB0,0x00
"SPI","result",0.0037649,0.0000076,0x37,0x00
"SPI","result",0.0037739,0.0000076,0xD4,0x00
"SPI","result",0.0037829,0.0000076,0x14,0x00
"SPI","result",0.0037919,0.0000076,0x9F,0x00
"SPI","result",0.0038009,0.0000076,0x07,0x00
"SPI","result",0.0038099,0.0000076,0xA2,0x00
"SPI","result",0.0038189,0.0000076,0xA4,0x00
"SPI","result",0.0038279,0.0000076,0x04,0x00
"SPI","result",0.0038369,0.0000076,0xD9,0x00
"SPI","result",0.0038459,0.0000076,0xAB,0x00
"SPI","result",0.0038549,0.0000076,0xA2,0x00
"SPI","result",0.0038639,0.0000076,0x59,0x00
"SPI","result",0.0038729,0.0000076,0xA3,0x00
"SPI","result",0.0038819,0.0000076,0xB9,0x00
"SPI","result",0.0038909,0.0000076,0xC5,0x00
"SPI","result",0.0038999,0.0000076,0x56,0x00
"SPI","result",0.0039089,0.0000076,0xD0,0x00
"SPI","result",0.0039179,0.0000076,0xDF,0x00
"SPI","result",0.0039269,0.0000076,0x6F,0x00
"SPI","result",0.0039359,0.0000076,0xFD,0x00
"SPI","result",0.0039449,0.0000076,0x17,0x00
"SPI","result",0.0039539,0.0000076,0x3C,0x00
"SPI","result",0.0039629,0.0000076,0xA3,0x00
"SPI","result",0.0039719,0.0000076,0xF6,0x00
"SPI","result",0.0039809,0.0000076,0x4F,0x00
"SPI","result",0.0039899,0.0000076,0x7E,0x00
"SPI","result",0.0039989,0.0000076,0x64,0x00
"SPI","result",0.0040079,0.0000076,0xBE,0x00
"SPI","result",0.0040169,0.0000076,0x0E,0x00
"SPI","result",0.0040259,0.0000076,0x92,0x00
"SPI","result",0.0040349,0.0000076,0xDC,0x00
"SPI","result",0.0040439,0.0000076,0x65,0x00
"SPI","result",0.0040529,0.0000076,0x06,0x00
"SPI","result",0.0040619,0.0000076,0xC2,0x00
"SPI","result",0.0040709,0.0000076,0x01,0x00
"SPI","result",0.0040799,0.0000076,0xE8,0x00
"SPI","result",0.0040889,0.0000076,0xDA,0x00
"SPI","result",0.0040979,0.0000076,0x10,0x00
"SPI","result",0.0041069,0.0000076,0xF1,0x00
"SPI","result",0.0041159,0.0000076,0xCE,0x00
"SPI","result",0.0041249,0.0000076,0xEB,0x00
"SPI","result",0.0041668,0.0000076,0x3F,0x00
"SPI","result",0.0041758,0.0000076,0xD4,0x00
"SPI","result",0.0041848,0.0000076,0x00,0x00
"SPI","result",0.0041938,0.0000076,0x24,0x00
"SPI","result",0.0042144,0.0000076,0x00,0x00
"SPI","result",0.0042244,0.0000076,0x00,0x00
"SPI","result",0.0042342,0.0000076,0x00,0x00
"SPI","result",0.004244,0.0000076,0x00,0x00
"SPI","result",0.0042538,0.0000076,0x00,0x00
"SPI","result",0.0042635,0.0000076,0x00,0x00
"SPI","result",0.0042733,0.0000076,0x00,0x00
"SPI","result",0.004283,0.0000076,0x00,0x00
"SPI","result",0.0042927,0.0000076,0x00,0x00
"SPI","result",0.0043024,0.0000076,0x00,0x00
"SPI","result",0.0043121,0.0000076,0x00,0x00
"SPI","result",0.0043217,0.0000076,0x00,0x00
"SPI","result",0.0043315,0.0000076,0x00,0x00
"SPI","result",0.0043412,0.0000076,0x00,0x01
"SPI","result",0.0043514,0.0000076,0xE6,0x00
"SPI","result",0.0043604,0.0000076,0xA7,0x00
"SPI","result",0.0043694,0.0000076,0xD7,0x00
"SPI","result",0.0043784,0.0000076,0xFF,0x00
"SPI","result",0.0043874,0.0000076,0x7F,0x00
"SPI","result",0.0043964,0.0000076,0x6E,0x00
"SPI","result",0.0044054,0.0000076,0x77,0x00
"SPI","result",0.0044144,0.0000076,0x06,0x00
"SPI","result",0.0044234,0.0000076,0x65,0x00
